PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
244,0,0,10.458,-689.514,-309.409,0,0,0,0
245,0,0,10.452,-689.924,-309.378,0,0,0,0
246,0,0,10.458,-690.328,-309.343,0,0,0,0
247,0,0,10.463,-690.731,-309.315,0,0,0,0
248,0,0,10.458,-691.132,-309.285,0,0,0,0
249,0,0,10.457,-691.569,-309.269,0,0,0,0
250,0,0,10.456,-691.95,-309.245,0,0,0,0
251,0,0,10.465,-692.347,-309.221,0,0,0,0
252,0,0,10.463,-692.823,-309.186,0,0,0,0
253,0,0,10.462,-693.187,-309.162,0,0,0,0
254,0,0,10.464,-693.566,-309.139,0,0,0,0
255,0,0,10.455,-694.028,-309.099,0,0,0,0
256,0,0,10.458,-694.384,-309.078,0,0,0,0
257,0,0,10.459,-694.887,-309.046,0,0,0,0
258,0,0,10.45,-695.278,-309.02,0,0,0,0
259,0,0,10.459,-695.77,-308.991,0,0,0,0
260,0,0,10.474,-696.161,-308.967,0,0,0,0
261,0,0,10.466,-696.639,-308.938,0,0,0,0
262,0,0,10.456,-697.068,-308.91,0,0,0,0
263,0,0,10.455,-697.484,-308.88,0,0,0,0
264,0,0,10.452,-697.94,-308.849,0,0,0,0
265,0,0,10.46,-698.367,-308.82,0,0,0,0
266,0,0,10.466,-698.788,-308.798,0,0,0,0
267,0,0,10.457,-699.236,-308.775,0,0,0,0
268,0,0,10.454,-699.691,-308.76,0,0,0,0
269,0,0,10.462,-700.083,-308.73,0,0,0,0
270,0,0,10.455,-700.519,-308.705,0,0,0,0
271,0,0,10.46,-700.916,-308.688,0,0,0,0
272,0,0,10.459,-701.352,-308.662,0,0,0,0
273,0,0,10.457,-701.777,-308.634,0,0,0,0
274,0,0,10.46,-702.199,-308.605,0,0,0,0
275,0,0,10.464,-702.621,-308.587,0,0,0,0
276,0,0,10.464,-703.04,-308.563,0,0,0,0
277,0,0,10.463,-703.482,-308.546,0,0,0,0
278,0,0,10.458,-703.894,-308.528,0,0,0,0
279,0,0,10.467,-704.325,-308.502,0,0,0,0
280,0,0,10.478,-704.711,-308.477,0,0,0,0
281,0,0,10.47,-705.166,-308.457,0,0,0,0
282,0,0,10.458,-705.622,-308.439,0,0,0,0
283,0,0,10.453,-706.013,-308.415,0,0,0,0
284,0,0,10.457,-706.417,-308.393,0,0,0,0
285,0,0,10.457,-706.825,-308.367,0,0,0,0
286,0,0,10.459,-707.293,-308.343,0,0,0,0
287,0,0,10.451,-707.701,-308.327,0,0,0,0
288,0,0,10.447,-708.109,-308.3,0,0,0,0
289,0,0,10.46,-708.539,-308.278,0,0,0,0
290,0,0,10.458,-708.91,-308.253,0,0,0,0
291,0,0,10.452,-709.367,-308.234,0,0,0,0
292,0,0,10.465,-709.784,-308.221,0,0,0,0
293,0,0,10.473,-710.195,-308.206,0,0,0,0
294,0,0,10.471,-710.6,-308.19,0,0,0,0
295,0,0,10.473,-710.953,-308.171,0,0,0,0
296,0,0,10.462,-711.41,-308.145,0,0,0,0
297,0,0,10.456,-711.815,-308.121,0,0,0,0
298,0,0,10.455,-712.186,-308.095,0,0,0,0
299,0,0,10.46,-712.605,-308.073,0,0,0,0
300,0,0,10.461,-713.029,-308.058,0,0,0,0
301,0,0,10.463,-713.451,-308.041,0,0,0,0
302,0,0,10.445,-713.87,-308.018,0,0,0,0
303,0,0,10.442,-714.219,-307.991,0,0,0,0
304,0,0,10.452,-714.592,-307.973,0,0,0,0
305,0,0,10.459,-715.04,-307.946,0,0,0,0
306,0,0,10.457,-715.418,-307.923,0,0,0,0
307,0,0,10.448,-715.86,-307.885,0,0,0,0
308,0,0,10.43,-716.233,-307.856,0,0,0,0
309,0,0,10.448,-716.643,-307.83,0,0,0,0
310,0,0,10.444,-717.074,-307.799,0,0,0,0
311,0,0,10.439,-717.453,-307.774,0,0,0,0
312,0,0,10.438,-717.857,-307.736,0,0,0,0
313,0,0,10.438,-718.294,-307.707,0,0,0,0
314,0,0,10.433,-718.664,-307.677,0,0,0,0
315,0,0,10.434,-718.989,-307.651,0,0,0,0
316,0,0,10.434,-719.376,-307.624,0,0,0,0
317,0,0,10.457,-719.821,-307.591,0,0,0,0
318,0,0,10.469,-720.22,-307.569,0,0,0,0
319,0,0,10.449,-720.626,-307.522,0,0,0,0
320,0,0,10.446,-721.022,-307.488,0,0,0,0
321,0,0,10.456,-721.406,-307.446,0,0,0,0
322,0,0,10.468,-721.776,-307.411,0,0,0,0
323,0,0,10.469,-722.213,-307.382,0,0,0,0
324,0,0,10.461,-722.591,-307.348,0,0,0,0
325,0,0,10.446,-722.98,-307.309,0,0,0,0
326,0,0,10.443,-723.338,-307.259,0,0,0,0
327,0,0,10.437,-723.739,-307.199,0,0,0,0
328,0,0,10.441,-724.125,-307.162,0,0,0,0
329,0,0,10.442,-724.509,-307.114,0,0,0,0
330,0,0,10.438,-724.85,-307.072,0,0,0,0
331,0,0,10.441,-725.244,-307.022,0,0,0,0
332,0,0,10.432,-725.648,-306.976,0,0,0,0
333,0,0,10.441,-726.003,-306.927,0,0,0,0
334,0,0,10.442,-726.382,-306.875,0,0,0,0
335,0,0,10.444,-726.769,-306.825,0,0,0,0
336,0,0,10.436,-727.117,-306.775,0,0,0,0
337,0,0,10.435,-727.544,-306.709,0,0,0,0
338,0,0,10.454,-727.89,-306.66,0,0,0,0
339,0,0,10.454,-728.289,-306.602,0,0,0,0
340,0,0,10.443,-728.628,-306.547,0,0,0,0
341,0,0,10.444,-730.161,-306.292,0,0,0,0
342,0,0,10.458,-730.519,-306.221,0,0,0,0
343,0,0,10.469,-730.894,-306.15,0,0,0,0
344,0,0,10.47,-731.268,-306.081,0,0,0,0
345,0,0,10.467,-731.615,-306.012,0,0,0,0
346,0,0,10.461,-731.987,-305.942,0,0,0,0
347,0,0,10.468,-732.311,-305.885,0,0,0,0
348,0,0,10.471,-732.674,-305.814,0,0,0,0
349,0,0,10.463,-733.063,-305.728,0,0,0,0
350,0,0,10.455,-733.456,-305.639,0,0,0,0
351,0,0,10.457,-733.827,-305.561,0,0,0,0
352,0,0,10.463,-734.153,-305.497,0,0,0,0
353,0,0,10.461,-734.543,-305.406,0,0,0,0
354,0,0,10.471,-734.871,-305.335,0,0,0,0
355,0,0,10.467,-735.204,-305.253,0,0,0,0
356,0,0,10.454,-735.561,-305.171,0,0,0,0
357,0,0,10.461,-735.939,-305.079,0,0,0,0
358,0,0,10.47,-736.28,-304.994,0,0,0,0
359,0,0,10.466,-736.621,-304.899,0,0,0,0
360,0,0,10.453,-736.967,-304.802,0,0,0,0
361,0,0,10.452,-737.309,-304.718,0,0,0,0
362,0,0,10.451,-737.674,-304.624,0,0,0,0
363,0,0,10.453,-738.006,-304.539,0,0,0,0
364,0,0,10.443,-738.342,-304.453,0,0,0,0
365,0,0,10.432,-738.686,-304.358,0,0,0,0
366,0,0,10.446,-740.737,-303.743,0,0,0,0
367,0,0,10.443,-741.074,-303.641,0,0,0,0
368,0,0,10.439,-741.39,-303.533,0,0,0,0
369,0,0,10.435,-741.73,-303.428,0,0,0,0
370,0,0,10.444,-742.07,-303.303,0,0,0,0
371,0,0,10.447,-742.405,-303.149,0,0,0,0
372,0,0,10.437,-742.731,-302.995,0,0,0,0
373,0,0,10.418,-743.022,-302.856,0,0,0,0
374,0,0,10.434,-743.332,-302.702,0,0,0,0
375,0,0,10.437,-743.654,-302.561,0,0,0,0
376,0,0,10.438,-743.971,-302.426,0,0,0,0
377,0,0,10.431,-744.276,-302.282,0,0,0,0
378,0,0,10.437,-744.574,-302.143,0,0,0,0
379,0,0,10.436,-744.906,-301.995,0,0,0,0
380,0,0,10.41,-745.202,-301.854,0,0,0,0
381,0,0,10.417,-745.515,-301.707,0,0,0,0
382,0,0,10.423,-745.838,-301.555,0,0,0,0
383,0,0,10.427,-747.055,-300.934,0,0,0,0
384,0,0,10.422,-747.304,-300.799,0,0,0,0
385,0,0,10.418,-747.618,-300.635,0,0,0,0
386,0,0,10.42,-747.93,-300.456,0,0,0,0
387,0,0,10.442,-748.205,-300.307,0,0,0,0
388,0,0,10.448,-748.47,-300.156,0,0,0,0
389,0,0,10.45,-748.774,-299.971,0,0,0,0
390,0,0,10.443,-749.073,-299.785,0,0,0,0
391,0,0,10.45,-749.347,-299.632,0,0,0,0
392,0,0,10.457,-749.638,-299.465,0,0,0,0
393,0,0,10.431,-749.93,-299.266,0,0,0,0
394,0,0,10.44,-750.199,-299.079,0,0,0,0
395,0,0,10.441,-750.457,-298.906,0,0,0,0
396,0,0,10.424,-750.744,-298.723,0,0,0,0
397,0,0,10.429,-751.004,-298.544,0,0,0,0
398,0,0,10.424,-751.255,-298.357,0,0,0,0
